Текст вопроса	Номер связки 	Тематика 		
Добрый день!  Пожалуйста, уточните, на данный момент для посещения Камчатки требуется ли предоставление отрицательных тестов на COVID19 или какие-либо другие документов, помимо паспорта гражданина РФ для прибывающих из Москвы регулярным рейсом?  Нужно ли оформлять какие-либо пропуски для пребывания на тер-рии Камчатки? Целью поездки явлеятся туризм, проживание заранее оплачивается, экскурсионные услуги будут организованы непосредственно через отель. Есть ли другие ограничения или меры, о которых необходимо знать туристам, которые отправляются на Камчатку (11-16 августа)   Заранее спасибо   Yours faithfully, Elena Myagkova +7 (915) 148 07 44 Head of Sales Department Sputnik Premier Club, Travel and Lifestyle Assistance www.spremierclub.com Address: 11, Stoleshnikov Lane, 509 Moscow, Russia 	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
Добрый день! Что нужно гражданам РФ, прилетающим из США с пересадкой в Турции? Сдать анализ на COVID в аэропорту( Внуково) сразу или в течении 3 дней после прилёта? 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Здравствуйте! На работе контактировала с зараженным COVID-ом, сейчас нахожусь на обязательном карантине. Могу ли я позвонить в поликлинику и попросить тестирование, так как не могу посетить платную лабораторию? Нахожусь в г. Ивантеевка, Московская обл. Если возможен обратный звонок на номер 89161359560, буду благодарна. С уважением, Анна Лукашова	6	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС		
Подскажите, пожалуйста, симптомы у короновируса какие? Проснулась сегодня с головной болью, горло болело. Температуры не было, чувствовала себя нормально. Сейчас горло чутка першит, насморк и чихаю. Температура 37.3 . Но и до вируса у меня часто болело горло и насморк был частенько. Стоит ли волноваться?	79	О КОРОНАВИРУСЕ И СИМПТОМАХ 		
Здравствуйте , подскажите пожалуйста , тест на Covid нужно сдавать и взрослым и детям по прилету из Турции? Спасибо	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день. Нахожусь в Петропавловскк-Камчатском и буду вылетать в Южно-Сахалинск 10 или 11 августа. Прямого авиарейса между этими городами нет, поэтому ни точную дату вылета, ни аэропорт пересадки (Владивосток или Хабаровск) сказать точно не могу. Когда и где нужно сдать анализы на covid, чтобы не было проблем в Ю-Сахалинске. В Петропавловке анализ делают 3 дня, я сегодня узнавала, так что он потеряет актуальность.  Заранее благодарна за совет. Бляхман Анна Ильинична. 08.08.2020	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
Здравствуйте. Я надеюсь, что у меня обычная простуда. Нос заложен,но насморка нет. На третий день приблизительно потеряла обоняние и не чувствуется вкус пищи. Температуры нет. 	79	О КОРОНАВИРУСЕ И СИМПТОМАХ		
Здравствуйте, я 5 числа пересекал границу с Абхазией, ходил в дюти фри.. Надо мне делать тест на ковид?! И если да. То почему  там не информируют! Узнал совершенно случайно Отправлено из Mail.ru для Android	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Не могу найти рекомендации до тех, кто возвращается из Турции, не могли бы помочь ?  Sent from my iPhone	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Подскажите пожалуйста, нужно ли проходить тест въехавшему со мной из-за границы ребёнку. Дочери один год и восемь месяцев. 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Хочу узнать результаты теста на ковид проведённые мне 1го августа	6	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС		
Здравствуйте! У меня постановление о самоизоляции заканчивается 10 августа. В тот же день закрывается больничный лист, анализы отрицательные, диагноз ОРЗ. Могу ли я вылететь 10 августа в другой город? Если у меня больничный лист и результаты анализов будут на руках	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
Здравствуйте, я иностранный гражданин. Въехала в Российскую Федерацию 07.08 числа, и мне сказали по месту прибытия пройти тест ПЦР на Covid-19 в течении трёх дней. До места назначения я добралась только 08.08 и сдать тест не могу нигде! В лабораториях города нет данного теста, только на антитела. Могу ли я в таком случае находится на самоизоляции 14 дней и не сдавать тест?	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Здравствуйте,  в магазине Хлеб Соль в городе Байкальске двое сотрудников с подтвержденным анализом на коронавирус.  Все  остальные сотрудники были в контакте с заболевшими, они по-прежнему работают и никто не отправляет их на самоизоляцию. Работодатель бездействует.  Примите пожалуйста меры!!! В городе население 10000 человек, в Хлеб Соли проходимость в день - 1000 человек. Если не принять меры - заболеет весь город!	286	МЕРЫ ПРОФИЛАКТИКИ ДЛЯ РАБОТОДАТЕЛЕЙ НА РАБОЧИХ МЕСТАХ		
Здравствуйте, скажите где можно сдать анализ на ковил, ребёнок 6 лет болеет кишечным каким то вирусом  8й день. Температура 37. 6 Можно ли где то в Санкт-Петербурге срочно сдать анализ без спец. Похода к врачу за направлением, как говорят в поликлинике?  Отправлено из мобильного приложения Яндекс.Почты	135	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС		
Добрый день! У меня путевка в Турцию с 24.08-5.09.2020г. По прилету я выхожу на новую работу,где обязательно требуют тест на короновирусную инфекцию.Необходимо ли мне сидеть ещё 2 недели карантина при отрицательном тесте на COVID-19? Отправлено из мобильной Почты Mail.ru	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день!    Я с семьёй вчера прилетела из-за границы регулярным рейсом. Сегодня сделали  тест детям, завтра будем делать взрослым (на сегодня записи не было,  записывалась заранее, ещё за неделю до вылета). Нам сказали, что тест  делается два дня. Кроме того, впереди выходные.  Для получения скорейшего результата нужна электронная медицинская карта. Я  сегодня отправила заявку, делается доступ 5 рабочих дней, как указано на  mos.ru.  На сына создать заявку не удалось, т. к. у него был старый медицинский  полис в системе. Обновила данные, жду проверки.  Без электронной карты можно получить данные у участкового врача, но это  будет не раньше понедельника.    То есть мы сдаём тесты сразу по приезде, но технически получить результаты  и загрузить их в систему в срок три календарных дня в текущих условиях не  получается. Кроме того, сайт гос.услуг часто работает некорректно. Сейчас  не загрузил мне страницу, где надо результат теста прикреплять.  Мы добровольно соблюдаем самоизоляцию загородом.    Вопрос следующий : если мы тест сдали, но результат не прикрепили в течение  3х дней (в прикрепим дней через 5, когда это будет технически возможно),  чем это нам грозит? Предусмотрены ли какие-то штрафы? Как это  контролируется?    Заранее спасибо за ответ.    С уважением,  Анна  	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день!   У нас следующия ситуация. В настоящее время дети с бабушкой (граждане РФ) находятся на территории Молдовы. Мы планируем их вылет в конце августа. Сейчас ознакомили с Постановлением Главсанитврача №22, к-м установлен онвый порядок пересечения границы авиорейсами. Уточните, пож-та, порядок действий:  * - мы должны заблаговременно оформить на детей анкету на портале гос услуг. Можно ли это сделать, если дети «привязаны» к гос услугам матери, которая не является их сопровождающей?  * Бабушка не зарегистрирована на портале гос услуг, может ли ее дочь оформить на своих гос услугах анкету на третье лицо (гражданина РФ, указав ее  персоональные данные)? * Заполняется два анкеты: одна в письменной форме (часть первая п.2.1.), другая в электронной на портале гос услуг (часть вторая п.2.2.)? Где взять письменную форму  Заранее спасибо за ответы на вопросы С Уважением, Виктория	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день! 20 августа прилетаю из Турции. Прошу уточнить по правилам сдачи теста на коронавирус. У вас на сайте указан список учреждений в которых можно провести тестирование. Но не у всех есть возможность сдать тест именно в день прилета. Я прилетаю в аэропорт Ростова, но в вашем списке нет ни одной организации из Ростова, также нет организаций из моего города проживания - Славянск-на-Кубани. Но у нас в городе есть лаборатории имеющие возможность сделать тест в необходимый срок. Могу ли я сдать тест в организациях вне списка, указанного на вашем сайте? Так же была публикация в СМИ что туристы могут сдать тест непосредственно в Турции и результат уже загрузить в ЛК госуслуг. Это правдивая информация? Так же вопрос каковы санкции если, например, лаборатория не успеет выдать результат теста в 3 дневный срок? Что тогда загружать в ЛК госуслуг? -- С уважением Арнаутов Игорь	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день. Может ли американский гражданин въехать в Россию сейчас. Он является мужем российской гражданки, летит вместе с ней частным бортом. Брак зарегистрирован в Нью-Йорке.	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день Я занимаюсь розничной офлайн торговлей ЭСДН, оквэд - торговля прочими непродовольственными товарами, ИП на патенте Насколько мне известно, я не могу обслуживать посетителей без масок, в связи с чем 2 вопроса: 1) могу ли я реализовывать на своей точке НЕ медицинские маски, купленные на том же wildberries на физическое лицо, и обслуживая клиентов в таких масках не буду ли я нарушать закон? Или во исполнение указа мэра и требований Роспотребнадзора мне нужно реализовывать именно медицинские маски с наличием сертификатов, чтобы обслуживание клиентов в данных масках не было нарушением закона? 2)  могу ли я дарить данные маски посетителям при покупке? 	70	СРЕДСТВА ИНДИВИДУАЛЬНОЙ ЗАЩИТЫ ( МАСКИ, ПЕРЧАТКИ)		
Здравствуйте! На вашем сайте есть информация по срокам возврата туроператорами денежных средств по несостоявшисмся турам в соответствии с постановлением №1073 от 20.07. Насколько мне известно из практики моих коллег, суды не принимают во внимание это постановление и удовлетворяют иски туристов о возврате денежных средств, включая штрафы, пени, моральный ущерб и тд. Нам предстоит такой суд. Может ли роспотребнадзор содействовать в защите наших интересов (турагенства и туроператора) и направить нам в письменном виде вашу позицию по этой проблеме?	316	ЗАЩИТА ПРАВ ПОТРЕБИТЕЛЕЙ (ТУРЫ, ГОСТИНИЦЫ, АВИАБИЛЕТЫ И БИЛЕТЫ НА МЕРОПРИЯТИЯ)		
Здравствуйте! Моя родственница находится на лечении в 71 больнице, неврологическое отделение, 413 палата. Неожиданно один из пациентов в палате, где она находится заболел COVID. После этого администрация стала в ускоренном порядке разгонять всех пациентов по домам, в том числе и заставляют уйти и её, несмотря на плохое самочувствие. Я не согласен с такой постановкой вопроса. Она тяжело больна, необходимо её сначала вылечить, потом необходимо еще раз сделать анализ на короновирус, а затем уже отправлять домой. Прошу вас в оперативном порядке решить этот вопрос, так как завтра её выпихнут на улицу в неопределенном состоянии. В Москве ей жить негде, в квартире идет ремонт, там работает ремонтная бригада. Летом она живет в деревне, пока её привезут, её болезнь обострится донельзя, к тому же ситуация с короновирусом тоже не ясна. Оптимально будет перевести её в другую больницу.                           	257	ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ		
Здравствуйте! Последнюю неделю я пребывал в городе Адлере. С 1 августа было дано разрешение посещать Абхазию. Вчера 06.08.2020 я ездил на экскурсию в Абхазию (проходил таможенный контроль). После чего вернулся в Адлер и уже сегодня с самолетом прилетел в Москву.  Днём позвонил мой отец, проживающий в г.Бологое Тверской области (мое место прописки). Сказал, что приходили сотрудники полиции и спрашивали насчёт меня. Спрашивали о том, где я нахожусь в данный момент, и что им поступило оповещение о пересечении мною границы Абхазии.  Нужно ли мне находится в режиме самоизоляции последующие 14 дней. Какие мои дальнейшие действия? Спасибо! 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый вечер. Пожалуйста подскажите как действовать в подобной ситуации: 1. Человек регулярно проходит тестирование на COVID (требование работодателя). ПЦР и антитела. Неделю назад пришел результат с положительным ПЦР (антитела - отрицательные). 2. 2 дня назад, при повторном тестировании ПЦР - отрицательный. Антитела - отрицательные (IgG, IgM, IgA). Симптомов нет (и не было), все контактировавшие - протестированы, у всех - отрицательный результат. 3. Можно ли в таком случае покидать место жительства (будет ли в таком случае гражданин оштрафован) или необходимо повторно пройти тестирование? 	6	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС		
Добрый день! У меня с понедельника кашель, сопли и жидкий стул. Температуры нет. Обратилась в гемотест , сказали, что не берут анализы если человек болеет/ простужен. Что делать в таком случае? На работе требуют тест. 	6	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС		
Какой порядок получения разрешений Роспотребнадзора для проведения ПЦР диагностики по SARS-2-COV ( COVID -19) для лабораторий научно-исследовательских ( не медицинских) учреждений. Учреждение имеет разрешение на работу с 3-4 группой патогенности.	135	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС		
Добрый день, подскажите, пожалуйста, как быть в следующей ситуации.  Мой муж неделю назад встречал своих родителей из деревни с поезда и отвозил их домой. На этой неделе у них было плохое самочувствие, они сдали тест и оказалось, что у свекрови тест - отрицательный, а у свёкра - положительный. Свекр со вчерашнего дня лежит в больнице 28 НН.  Как нам быть?! Где можно всей нашей семье ( мужу, мне, дочке и сыну) сдать тест на ковид? Т.к. платно нас принять не могут, потому что не прошло двух недель, а в поликлинике берут анализ только с разрешения Роспотребнадзора. Самочувствие у нашей семьи хорошее.  Спасибо. 	135	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС		
Добрый день.Меня зовут Хлюстова Илона. В данный момент я нахожусь в Германии и хотела бы приехать домой в РФ. Я являюсь гражданином Казахстана, но также имею вид на жительство РФ с 2017 года. Я связалась с посольством РФ в Германии, они сказали мне, что я могу прилетать домой в РФ, как и граждане РФ. Отсюда у меня возникло пару вопросов. Как человек, который имеет вид на жительство. Имею я право сдать тест на коронавирус непосредственно в аэропорту Москвы либо уже в течении 3 дней в городе Краснодар (куда собственно я направляюсь, так как зарегистрирована и проживая я именно там.) Так как сдать тест на территории Германии в выходные дни невозможно (я планирую вылетать в понедельник), тут долго проверяют и стоит это 139 евро, и возможности перевода и заверить в данный момент без термина у нотариуса невозможно. Хотела получить от вас подтверждение, что я как и граждане РФ могу сделать это уже в РФ, потратив только 2200 рублей на данный тест. Также хотела уточнить, мне нужно будет провести 2 недели дома или это все зависит от результата теста?Спасибо за ответы. 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день. Если тест на ковид окажется положительным - можно ли соблюдать самоизоляцию и лечиться дома или обязательно в стационар? С уважением и любовью, Ирина 	1	КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ		
Здравствуйте.В нашем доме,расположенным по адресу: Подольск,Армейский проезд 7, на 10 августа в 20.00 запланировано общее собрание собственников.Хотелось бы узнать,возможно ли данное мероприятие в сложившейся обстановке.	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
Следует ли из всего написанного ниже, что в течении 3х дней прибывающие на  территорию РФ обязаны именно СДАТЬ тест, а загрузить результаты можно и позже, после их получения?Отправлено со смартфона Samsung Galaxy.	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый вечер! Нужна ли справка на Covid-19 для выезда в Турцию?	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Здравствуйте. Скажите пожалуйста, а Кемеровская область закрыта на выезд и въезд? Можно ли будет вернуться на поезде из Москвы?	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
Добрый день!  Есть необходимость поездки на спортивное мероприятие в г. Минск в период 22-23 августа 2020 года. После возвращения в Россию (г. Санкт-Петербург),  26 го августа, по работе, будет необходимо заехать на один из удаленных объектов на о. Сахалин.  Просьба прояснить, понадобится предпринимать, после возвращения из Республики Беларусь, какие-нибудь дополнительные действия или меры контроля для возможности дальнейшей поездки на о. Сахалин? 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день.Я прилетела из Испании 31.07.2020. Где мне сдать тест на короновирус? Или достаточно сидеть дома 14 дней карантина? 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день. В Республике Крым санатории требуют при заселении предоставить справку о результатах тестирования на коронавирусную инфекцию методом ПЦР, ссылаясь на письмо руководителя Роспотребнадзора Республики Крым Пеньковской Н.А. от 29.06.2020г. Правомерно ли такое требование? Имею ли я право требовать заселения без предъявления такой справки? С уважением, Зоряна Борщук тел.+7978 5617590	324	ОРГАНИЗАЦИИ ОТДЫХА ДЕТЕЙ И ИХ ЗДОРОВЛЕНИЯ 		
Добрый день. На сайте госуслуг указана информация, что по прилёту из за границы я должен пройти тест на короновирус и заполнить анкету с данными этого теста. В связи с этим у меня появилось два вопроса. Во-первых, можно ли будет пройти тест бесплатно через государственную поликлинику? Спрашиваю в связи с тем, что будучи на больничном я не мог пройти этот тест, пока не началась пневмония. Тогда мне было сказано, что квоты на прохождение теста закончились. Во-вторых, поправьте меня, если я не прав, но результаты теста приходят не ранее чем через неделю после сдачи. Так каким образом, я могу заполнить указанную анкету в течение трёх дней после прилёта и сдачи теста? Заранее спасибо. Отправлено из Mail.ru для Android 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день! Звонила на горячую линию на счёт ковида, направила к Вам. Контактировала с заболевшими, в поликлинику звоню, не отвечают. Что сделать? Как вызвать врача на дом? Отправлено из мобильной Почты Mail.ru 	1	КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ		
Добрый день. Сдал тест. Имуноглабулин М положительно. Мои дальнейшие действия. Нижнй Новгород. ул. Германа Лопатина 12 корпус 1.Кому позвонить ? Какого врача вызвать ?       С уважением,Цедринский Илья	257	ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ		
Доброе утро! Подскажите, пожалуйста, где в городе Ярославль можно сдать срочно анализ на антитела на коронавирус для поездки туристическая на СоловкиОтправлено из Mail.ru для Android	135	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС		
Добрый день, подскажите , пожалуйста. Если я иду в торговый центр за покупками, должна ли я надевать перчатки, или достаточно только маски . Город Санкт Петербург . Спасибо  Отправлено из мобильной Почты Mail.ru	70	СРЕДСТВА ИНДИВИДУАЛЬНОЙ ЗАЩИТЫ ( МАСКИ, ПЕРЧАТКИ)		
Здравствуйте, в соответствии с Постановлением главного государственного санитарного врача Российской Федерации № 22 от 27.07.2020 по возвращению на территорию Российской Федерации российским гражданам необходимо: заполнить на Едином портале государственных и муниципальных услуг (далее – ЕПГУ) анкету прибывающего на территорию Российской Федерации в электронном виде «Регистрация прибывающих в Российскую Федерацию» до вылета в Российскую Федерацию (при приобретении билета, но не позднее регистрации на рейс); в течение трех календарных дней со дня прибытия на территорию Российской Федерации пройти лабораторное исследование на COVID-19 методом ПЦР и разместить информациюо результате лабораторного исследования на COVID-19 методом ПЦР в ЕПГУ, заполнив форму «Предоставление сведений о результатах теста на новую коронавирусную инфекцию для прибывающих в Российскую Федерацию»; в случае появления любого ухудшения состояния здоровья в течение 14 календарных дней со дня прибытия на территорию Российской Федерации незамедлительно обратиться за медицинской помощью по месту жительства (пребывания) без посещения медицинских организаций.   Распространяются Ли меры указанные в данном постановлении На переболевших граждан?  Отправлено из мобильной Почты Mail.ru	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день, сегодня 08.08.20 при посещении парка санатория Марьино ссылаясь на рекомендации и требования Роспотребнадзора на территорию парка нас не пустили. И это правильно. Но тут же, у нас на глазах в парк были пропущены 2 свадьбы. На наш вопрос о правомерности таких действий охрана сослалась на распоряжение администрации санатория.  Прошу разъяснить правомерность действия администрации санатория, проверить порядок соблюдения санаторием рекомендаций Роспотребнадзора.  Если распоряжения нарушены не были прошу дать объяснения ранжирования граждан РФ по которым посещения территории санатория одним гражданам допустимы, другим нет.                                     С уважением, Александра Юдичева	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ 		
